leverage,protection,moneyness,rebalance,vrp_mode,window_years,start,end,terminal_wealth,cagr,max_drawdown,ruined,log_terminal
3.0,put25,0.25,monthly,fair,10,1999-08-05,2009-08-05,0.25988767493125214,-0.12605001665412308,0.9625656301084984,False,-1.3475057608091017
3.0,put25,0.25,monthly,fair,10,1999-09-07,2009-09-08,0.24168097861502266,-0.132340021906866,0.9651190621284176,False,-1.4201366926938506
3.0,put25,0.25,monthly,fair,10,1999-10-05,2009-10-05,0.35265524879593274,-0.09896589282395529,0.9440277819058933,False,-1.0422643315710456
3.0,put25,0.25,monthly,fair,10,1999-11-05,2009-11-05,0.41468782649990266,-0.08424908549106447,0.9708646542179575,False,-0.8802292671162908
3.0,put25,0.25,monthly,fair,10,1999-12-06,2009-12-07,0.5013621380753296,-0.06668668339964923,0.9695394349461968,False,-0.69042660852373
3.0,put25,0.25,monthly,fair,10,2000-01-05,2010-01-05,0.43341282093245104,-0.08019631472159494,0.9709298054293816,False,-0.836064608101339
3.0,put25,0.25,monthly,fair,10,2000-02-07,2010-02-08,0.30589384531869074,-0.11166209906261682,0.9716549371231448,False,-1.1845171479404344
3.0,put25,0.25,monthly,fair,10,2000-03-06,2010-03-08,1.688594459195174,0.05376360762127308,0.9605148122620952,False,0.5238965019469043
3.0,put25,0.25,monthly,fair,10,2000-04-05,2010-04-05,0.6880475494072682,-0.03670429915048068,0.9691835012257727,False,-0.37389733092638866
3.0,put25,0.25,monthly,fair,10,2000-05-05,2010-05-05,0.6267897095262758,-0.0456461977052709,0.9671061531331665,False,-0.4671441861106685
3.0,put25,0.25,monthly,fair,10,2000-06-05,2010-06-07,0.3565474891553186,-0.09795101072686474,0.9666056161654052,False,-1.031287838587539
3.0,put25,0.25,monthly,fair,10,2000-07-05,2010-07-06,0.2266820801930473,-0.13791410075898114,0.9684334870390786,False,-1.4842067709403681
3.0,put25,0.25,monthly,fair,10,2000-08-07,2010-08-09,0.24592911158321057,-0.13082745037592847,0.9664120304746577,False,-1.402711948872975
3.0,put25,0.25,monthly,fair,10,2000-09-05,2010-09-07,0.187679728289925,-0.15399766156062078,0.9694952698702832,False,-1.6730183418085984
3.0,put25,0.25,monthly,fair,10,2000-10-05,2010-10-05,0.38703284288157686,-0.09057029039544717,0.929994803302581,False,-0.9492457242261414
3.0,put25,0.25,monthly,fair,10,2000-11-06,2010-11-08,0.7142136650275541,-0.03308384581283308,0.9623375539185833,False,-0.336573110670253
3.0,put25,0.25,monthly,fair,10,2000-12-05,2010-12-06,0.8909248210056343,-0.011481520715435622,0.9556517226193773,False,-0.1154952310468997
3.0,put25,0.25,monthly,fair,10,2001-01-05,2011-01-05,0.8377566795874878,-0.017549365831574626,0.9541923358456733,False,-0.177027579149726
3.0,put25,0.25,monthly,fair,10,2001-02-05,2011-02-07,0.8995017833215562,-0.010531230588543994,0.9558475909536936,False,-0.10591424302369112
3.0,put25,0.25,monthly,fair,10,2001-03-05,2011-03-07,3.996656202347471,0.1485369693846159,0.952941450298804,False,1.3854580621062018
3.0,put25,0.25,monthly,fair,10,2001-04-05,2011-04-05,2.4566884192594762,0.09405801524511159,0.952284236495347,False,0.8988142720093252
3.0,put25,0.25,monthly,fair,10,2001-05-07,2011-05-09,1.3235463872176532,0.02841622366455443,0.9518497725064429,False,0.28031479096968964
3.0,put25,0.25,monthly,fair,10,2001-06-05,2011-06-06,1.0280366269056274,0.0027685264119929887,0.9518505084961332,False,0.027650795683895172
3.0,put25,0.25,monthly,fair,10,2001-07-05,2011-07-05,0.9238996437052588,-0.007885014956682368,0.9533265055855565,False,-0.0791518239476174
3.0,put25,0.25,monthly,fair,10,2001-08-06,2011-08-08,0.47374694247031907,-0.07195729530055828,0.9519917004055182,False,-0.747081976494836
3.0,put25,0.25,monthly,fair,10,2001-09-05,2011-09-06,0.6439177483945276,-0.04305791167028439,0.9520889271811361,False,-0.44018428091893624
3.0,put25,0.25,monthly,fair,10,2001-10-05,2011-10-05,1.0651681608870087,0.006334108940308392,0.9095906298264301,False,0.06313268424336996
3.0,put25,0.25,monthly,fair,10,2001-11-05,2011-11-07,1.680760764913924,0.053273925163074054,0.9523863370578953,False,0.5192465271740597
3.0,put25,0.25,monthly,fair,10,2001-12-05,2011-12-05,1.950136911373404,0.06908068086253394,0.952264442329708,False,0.6678995810717012
3.0,put25,0.25,monthly,fair,10,2002-01-07,2012-01-09,1.6657313273243768,0.05232865945376486,0.9520233591646015,False,0.5102642626269317
3.0,put25,0.25,monthly,fair,10,2002-02-05,2012-02-06,2.2127707246811803,0.0826520945200584,0.9537751186715595,False,0.7942454518522191
3.0,put25,0.25,monthly,fair,10,2002-03-05,2012-03-05,6.629801220021372,0.20819993084115196,0.952941450298804,False,1.8915748218510762
3.0,put25,0.25,monthly,fair,10,2002-04-05,2012-04-05,3.6202639795861606,0.1372773143964312,0.952284236495347,False,1.2865469457165741
3.0,put25,0.25,monthly,fair,10,2002-05-06,2012-05-07,3.0802742627103696,0.11902266174144738,0.9517354639348867,False,1.1250186393556292
3.0,put25,0.25,monthly,fair,10,2002-06-05,2012-06-05,2.053716385461561,0.07460725662015655,0.9518505084961332,False,0.7196510228399272
3.0,put25,0.25,monthly,fair,10,2002-07-05,2012-07-05,2.0481309662445124,0.07431468126675078,0.9533265055855565,False,0.7169276534942304
3.0,put25,0.25,monthly,fair,10,2002-08-05,2012-08-06,2.2684975864646173,0.08532355520004287,0.9521265132048103,False,0.819117756186829
3.0,put25,0.25,monthly,fair,10,2002-09-05,2012-09-05,2.3594563165926683,0.08962257209278501,0.9520889271811361,False,0.8584312181721371
3.0,put25,0.25,monthly,fair,10,2002-10-07,2012-10-08,6.743354849666094,0.21019004264723407,0.8845250807014157,False,1.9085575532626715
3.0,put25,0.25,monthly,fair,10,2002-11-05,2012-11-05,4.745717984786102,0.1684790652109831,0.9523863370578953,False,1.557242734584761
3.0,put25,0.25,monthly,fair,10,2002-12-05,2012-12-05,6.53271375216039,0.2064191057487461,0.952264442329708,False,1.8768224392183461
3.0,put25,0.25,monthly,fair,10,2003-01-06,2013-01-07,4.908863929624314,0.17238359826954563,0.9520233591646013,False,1.591042536138951
3.0,put25,0.25,monthly,fair,10,2003-02-05,2013-02-05,8.036946841250591,0.23167668704099165,0.9537751186715595,False,2.08404926495595
3.0,put25,0.25,monthly,fair,10,2003-03-05,2013-03-05,23.414424357260557,0.3706595737336831,0.952941450298804,False,3.1533522579754383
3.0,put25,0.25,monthly,fair,10,2003-04-07,2013-04-08,13.174442519870448,0.29397909075143147,0.952284236495347,False,2.5782787800498665
3.0,put25,0.25,monthly,fair,10,2003-05-05,2013-05-06,9.45215838895687,0.25173689312070113,0.9517577085105857,False,2.2462431163739427
3.0,put25,0.25,monthly,fair,10,2003-06-05,2013-06-05,5.40461568408888,0.1837676082730595,0.9518505084961332,False,1.6872533447868379
3.0,put25,0.25,monthly,fair,10,2003-07-07,2013-07-08,4.42293935584955,0.16023133748719354,0.9533265055855565,False,1.486804487702332
3.0,put25,0.25,monthly,fair,10,2003-08-05,2013-08-05,3.789382462109194,0.14248083877898554,0.9521265132048103,False,1.3322030670609049
3.0,put25,0.25,monthly,fair,10,2003-09-05,2013-09-05,3.0295526551717233,0.1172008609374493,0.9520889271811361,False,1.1084149700644461
3.0,put25,0.25,monthly,fair,10,2003-10-06,2013-10-07,4.453588229763506,0.16103249758494842,0.9110584809220621,False,1.4937101150247467
3.0,put25,0.25,monthly,fair,10,2003-11-05,2013-11-05,6.628565817089038,0.20817741833212766,0.9523863370578953,False,1.8913884636166947
3.0,put25,0.25,monthly,fair,10,2003-12-05,2013-12-05,8.917346896924103,0.2445448726682904,0.952264442329708,False,2.187998469269669
3.0,put25,0.25,monthly,fair,10,2004-01-05,2014-01-06,6.232807997971851,0.20070343307100802,0.9520233591646015,False,1.8298269532405695
3.0,put25,0.25,monthly,fair,10,2004-02-05,2014-02-05,5.884897195054407,0.1938873547830713,0.9537751186715595,False,1.7723892715799456
3.0,put25,0.25,monthly,fair,10,2004-03-05,2014-03-05,17.26543793127326,0.3296419182522896,0.952941450298804,False,2.8487066957837013
3.0,put25,0.25,monthly,fair,10,2004-04-05,2014-04-07,9.404645976412482,0.25110652352290486,0.952284236495347,False,2.241203819983108
3.0,put25,0.25,monthly,fair,10,2004-05-05,2014-05-05,8.722572136180304,0.2418734301487524,0.9517577085105857,False,2.1659141641713133
3.0,put25,0.25,monthly,fair,10,2004-06-07,2014-06-09,5.611838873328277,0.18817324241217448,0.951585304552201,False,1.72487845073187
3.0,put25,0.25,monthly,fair,10,2004-07-06,2014-07-07,5.254138712428622,0.18043014490980047,0.9533265055855565,False,1.6590160922145396
3.0,put25,0.25,monthly,fair,10,2004-08-05,2014-08-05,4.057687109198033,0.1503663873723058,0.9521265132048103,False,1.40061313374831
3.0,put25,0.25,monthly,fair,10,2004-09-07,2014-09-08,4.211391863903798,0.1546065546122506,0.9531188923179175,False,1.4377932020584534
3.0,put25,0.25,monthly,fair,10,2004-10-05,2014-10-06,5.437890282610876,0.18449430764971275,0.9095906298264301,False,1.6933911699513657
3.0,put25,0.25,monthly,fair,10,2004-11-05,2014-11-05,7.594321101947724,0.224788078464089,0.9523863370578953,False,2.027400744553782
3.0,put25,0.25,monthly,fair,10,2004-12-06,2014-12-08,9.221994130137833,0.24865619794526572,0.952157534616236,False,2.2215912972778953
3.0,put25,0.25,monthly,fair,10,2005-01-05,2015-01-05,7.481108201955138,0.22294959961332617,0.9520233591646015,False,2.012380936354063
3.0,put25,0.25,monthly,fair,10,2005-02-07,2015-02-09,6.534395335595726,0.20638818636084988,0.9536076344053627,False,1.8770798157250128
3.0,put25,0.25,monthly,fair,10,2005-03-07,2015-03-09,18.621597440110556,0.33952109717807644,0.9540364160121204,False,2.924322059796879
3.0,put25,0.25,monthly,fair,10,2005-04-05,2015-04-06,12.970270390180394,0.2920510389956801,0.952284236495347,False,2.5626598454649736
3.0,put25,0.25,monthly,fair,10,2005-05-05,2015-05-05,10.87068798787256,0.26952100402042145,0.9517577085105857,False,2.386069991482823
3.0,put25,0.25,monthly,fair,10,2005-06-06,2015-06-08,6.168879657751181,0.19946668809522383,0.9516813442169614,False,1.819517242459204
3.0,put25,0.25,monthly,fair,10,2005-07-05,2015-07-06,5.050505452993652,0.17577401423645544,0.9533265055855565,False,1.6194883279803416
3.0,put25,0.25,monthly,fair,10,2005-08-05,2015-08-05,3.8445798663392887,0.14417616364132746,0.9521265132048103,False,1.346664329455431
3.0,put25,0.25,monthly,fair,10,2005-09-06,2015-09-08,3.165879927489595,0.12209311648585297,0.9522788145967789,False,1.1524310351204203
3.0,put25,0.25,monthly,fair,10,2005-10-05,2015-10-05,5.060367979429373,0.17605559111818603,0.9095906298264301,False,1.621439203862556
3.0,put25,0.25,monthly,fair,10,2005-11-07,2015-11-09,7.418310727595073,0.2217849614506684,0.9532391884496206,False,2.0039513665151376
3.0,put25,0.25,monthly,fair,10,2005-12-05,2015-12-07,9.001032409375407,0.2456328643331509,0.952264442329708,False,2.1973392829101064
3.0,put25,0.25,monthly,fair,10,2006-01-05,2016-01-05,6.142018946546901,0.1990627406719232,0.9520233591646013,False,1.8151535067658917
3.0,put25,0.25,monthly,fair,10,2006-02-06,2016-02-08,4.123896644216247,0.1521406991833394,0.9541292654407255,False,1.416798503817437
3.0,put25,0.25,monthly,fair,10,2006-03-06,2016-03-07,15.426355902581445,0.3145513496400425,0.9539023027981306,False,2.736077468850838
3.0,put25,0.25,monthly,fair,10,2006-04-05,2016-04-05,9.398795346643299,0.2511054055300834,0.952284236495347,False,2.2405815264510394
3.0,put25,0.25,monthly,fair,10,2006-05-05,2016-05-05,7.444503656487338,0.22228263454009567,0.9517577085105857,False,2.007475995879623
3.0,put25,0.25,monthly,fair,10,2006-06-05,2016-06-06,6.566360050319319,0.20697678605898462,0.9518505084961332,False,1.8819596531409146
3.0,put25,0.25,monthly,fair,10,2006-07-05,2016-07-05,4.626157746245239,0.16550177330515492,0.9533265055855565,False,1.5317266631511697
