date,total_return_index,close,vix,rf_annual,div_yield
1963-09-05,,73.000000,,0.033500,0.030336
1963-09-06,,72.839996,,0.033400,0.030336
1963-09-09,,72.580002,,0.033400,0.030336
1963-09-10,,72.989998,,0.033600,0.030336
1963-09-11,,73.199997,,0.033600,0.030336
1963-09-12,,73.150002,,0.033700,0.030336
1963-09-13,,73.169998,,0.033800,0.030336
1963-09-16,,73.070000,,0.034100,0.030336
1963-09-17,,73.120003,,0.034000,0.030336
1963-09-18,,72.800003,,0.034100,0.030336
1963-09-19,,73.220001,,0.034100,0.030336
1963-09-20,,73.300003,,0.034000,0.030336
1963-09-23,,72.959999,,0.033900,0.030336
1963-09-24,,73.300003,,0.033900,0.030336
1963-09-25,,72.889999,,0.033700,0.030336
1963-09-26,,72.269997,,0.033700,0.030336
1963-09-27,,72.129997,,0.033600,0.030336
1963-09-30,,71.699997,,0.033700,0.030336
1963-10-01,,72.220001,,0.033700,0.030581
1963-10-02,,72.300003,,0.034300,0.030581
1963-10-03,,72.830002,,0.034400,0.030581
1963-10-04,,72.849998,,0.034500,0.030581
1963-10-07,,72.699997,,0.034600,0.030581
1963-10-08,,72.599998,,0.034500,0.030581
1963-10-09,,71.870003,,0.034400,0.030581
1963-10-10,,72.199997,,0.034400,0.030581
1963-10-11,,72.269997,,0.034400,0.030581
1963-10-14,,72.300003,,0.034500,0.030581
1963-10-15,,72.400002,,0.034600,0.030581
1963-10-16,,72.970001,,0.034600,0.030581
1963-10-17,,73.260002,,0.034900,0.030581
1963-10-18,,73.320000,,0.034800,0.030581
1963-10-21,,73.379997,,0.034600,0.030581
1963-10-22,,72.959999,,0.034300,0.030581
1963-10-23,,73.000000,,0.034400,0.030581
1963-10-24,,73.279999,,0.034500,0.030581
1963-10-25,,74.010002,,0.034400,0.030581
1963-10-28,,74.480003,,0.034400,0.030581
1963-10-29,,74.459999,,0.034600,0.030581
1963-10-30,,73.800003,,0.034800,0.030581
1963-10-31,,74.010002,,0.034800,0.030581
1963-11-01,,73.830002,,0.034900,0.031075
1963-11-04,,73.449997,,0.035100,0.031075
1963-11-06,,72.809998,,0.035400,0.031075
1963-11-07,,73.059998,,0.035500,0.031075
1963-11-08,,73.360001,,0.035500,0.031075
1963-11-11,,73.519997,,0.035200,0.031075
1963-11-12,,73.230003,,0.035500,0.031075
1963-11-13,,73.290001,,0.035800,0.031075
1963-11-14,,72.949997,,0.035400,0.031075
1963-11-15,,72.349998,,0.035300,0.031075
1963-11-18,,71.830002,,0.035200,0.031075
1963-11-19,,71.900002,,0.035200,0.031075
1963-11-20,,72.559998,,0.035100,0.031075
1963-11-21,,71.620003,,0.035000,0.031075
1963-11-22,,69.610001,,0.034900,0.031075
1963-11-26,,72.379997,,0.034600,0.031075
1963-11-27,,72.250000,,0.034900,0.031075
1963-11-29,,73.230003,,0.035000,0.031075
1963-12-02,,73.660004,,0.035300,0.030740
1963-12-03,,73.620003,,0.035400,0.030740
1963-12-04,,73.800003,,0.035300,0.030740
1963-12-05,,74.279999,,0.035200,0.030740
1963-12-06,,74.000000,,0.035000,0.030740
1963-12-09,,73.959999,,0.034900,0.030740
1963-12-10,,73.989998,,0.034900,0.030740
1963-12-11,,73.900002,,0.035100,0.030740
1963-12-12,,73.910004,,0.035100,0.030740
1963-12-13,,74.059998,,0.035200,0.030740
1963-12-16,,74.300003,,0.035300,0.030740
1963-12-17,,74.739998,,0.035300,0.030740
1963-12-18,,74.629997,,0.035300,0.030740
1963-12-19,,74.400002,,0.035300,0.030740
1963-12-20,,74.279999,,0.035200,0.030740
1963-12-23,,73.809998,,0.035200,0.030740
1963-12-24,,73.970001,,0.035200,0.030740
1963-12-26,,74.320000,,0.035300,0.030740
1963-12-27,,74.440002,,0.035200,0.030740
1963-12-30,,74.559998,,0.035200,0.030740
1963-12-31,,75.019997,,0.035100,0.030740
1964-01-02,,75.430000,,0.035300,0.030041
1964-01-03,,75.500000,,0.035300,0.030041
1964-01-06,,75.669998,,0.035300,0.030041
1964-01-07,,75.690002,,0.035300,0.030041
1964-01-08,,76.000000,,0.035400,0.030041
1964-01-09,,76.279999,,0.035300,0.030041
1964-01-10,,76.239998,,0.035300,0.030041
1964-01-13,,76.220001,,0.035400,0.030041
1964-01-14,,76.360001,,0.035400,0.030041
1964-01-15,,76.639999,,0.035500,0.030041
1964-01-16,,76.550003,,0.035400,0.030041
1964-01-17,,76.559998,,0.035400,0.030041
1964-01-20,,76.410004,,0.035200,0.030041
1964-01-21,,76.620003,,0.035200,0.030041
1964-01-22,,77.029999,,0.035200,0.030041
1964-01-23,,77.089996,,0.035100,0.030041
1964-01-24,,77.110001,,0.035100,0.030041
1964-01-27,,77.080002,,0.035000,0.030041
1964-01-28,,77.099998,,0.035000,0.030041
1964-01-29,,76.629997,,0.035000,0.030041
1964-01-30,,76.699997,,0.035000,0.030041
1964-01-31,,77.040001,,0.035000,0.030041
